code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,cluster
1532872,ALEKSANYAN A,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",,Athlete,"Gevorg Aleksanyan (ARM), father","His father, Gevorg Aleksanyan",,2
1532873,AMOYAN M,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",,,,,,2
1532874,GALSTYAN S,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",,,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM),,,2
1532944,HARUTYUNYAN A,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Freestyle 57kg""]",,Athlete,National: Habetnak Kurghinyan,,,2
1532945,TEVANYAN V,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Freestyle 65kg""]",,Athlete,National: Habetnak Kurghinyan (ARM),,,2
1532951,ARENAS L,Female,Athlete,COL,Colombia,Colombia,162,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",,Athlete,Personal: Brent Vallance (AUS),,In competition she wears a ring or earrings her family gave her,2
1533112,McKENZIE A,Male,Athlete,JAM,Jamaica,Jamaica,0,0.0,['Judo'],['Men -60 kg'],,Athlete,Personal and National: Luke Preston (GBR),"""My coach Luke Preston. We've been a team for the last 12 years."" (Athlete, 25 Jun 2024)",,2
1533136,BASS BITTAYE GM,Female,Athlete,GAM,Gambia,Gambia,161,0.0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",,"Athlete, police officer (sub-inspector)",Personal: Christophe Belliard (FRA),,,2
1533176,CAMARA E,Male,Athlete,GAM,Gambia,Gambia,178,0.0,['Athletics'],"[""Men's 100m""]",,"Athlete, prison officer",Personal: Christophe Belliard (FRA),"Momodou Lamin Kujabi, a former international athlete from The Gambia who was once his physical education teacher",,2
1533188,RUEDA SANTOS L,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Women's Individual""]",,Athlete,Personal: Eugenio Chimal (MEX),,,2
1533189,TAPIA VIDAL RM,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Women's Individual""]",,Athlete,Luis Miguel Chávez Rincón,,,2
1533190,GRAJALES C,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Men's Individual""]",,Athlete,Personal: Eugenio Chimal (MEX),,,2
1533208,MAAROUFOU H,Male,Athlete,COM,Comoros,Comoros,183,0.0,['Athletics'],"[""Men's 100m""]",,Athlete,Personal: Franck Ne (FRA),,,2
1533209,SAADI M,Female,Athlete,COM,Comoros,Comoros,0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",,"Athlete, student",Personal: Marc-Olivier Froger,,,0
1533230,DIOSDADO N,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",,"Athlete, sport soldier",National: Adriana Loftus (MEX),Her parents,,0
