edition,edition_id,year,country,gold,silver,bronze,total,previous_medals,predicted_medals
1896 Summer Olympics,1,1896,United States,11,7,2,20,0.0,19.98
1896 Summer Olympics,1,1896,Greece,10,18,19,47,0.0,46.7
1896 Summer Olympics,1,1896,Germany,6,5,2,13,0.0,13.0
1896 Summer Olympics,1,1896,France,5,4,2,11,0.0,11.21
1896 Summer Olympics,1,1896,Great Britain,2,3,2,7,0.0,7.04
1896 Summer Olympics,1,1896,Hungary,2,1,3,6,0.0,6.0
1896 Summer Olympics,1,1896,Austria,2,1,2,5,0.0,5.03
1896 Summer Olympics,1,1896,Australia,2,0,0,2,0.0,2.01
1896 Summer Olympics,1,1896,Denmark,1,2,3,6,0.0,6.0
1896 Summer Olympics,1,1896,Switzerland,1,2,0,3,0.0,3.0
1896 Summer Olympics,1,1896,Mixed team,1,0,1,2,0.0,2.0
1900 Summer Olympics,2,1900,France,31,41,40,112,11.0,105.17
1900 Summer Olympics,2,1900,United States,20,13,15,48,20.0,49.02
1900 Summer Olympics,2,1900,Great Britain,20,8,9,37,7.0,38.14
1900 Summer Olympics,2,1900,Belgium,6,6,6,18,0.0,18.04
1900 Summer Olympics,2,1900,Switzerland,6,3,1,10,3.0,10.53
1900 Summer Olympics,2,1900,Germany,4,3,2,9,13.0,8.82
1900 Summer Olympics,2,1900,Italy,3,2,0,5,0.0,5.32
1900 Summer Olympics,2,1900,Denmark,1,3,2,6,6.0,6.01
1900 Summer Olympics,2,1900,Mixed team,1,2,3,6,2.0,6.01
1900 Summer Olympics,2,1900,Netherlands,1,2,3,6,0.0,6.0
1900 Summer Olympics,2,1900,Hungary,1,2,2,5,6.0,5.01
1900 Summer Olympics,2,1900,Cuba,1,1,0,2,0.0,2.0
1900 Summer Olympics,2,1900,Spain,1,0,0,1,0.0,1.0
1900 Summer Olympics,2,1900,Austria,0,3,3,6,5.0,6.0
1900 Summer Olympics,2,1900,Norway,0,2,3,5,0.0,5.06
1900 Summer Olympics,2,1900,India,0,2,0,2,0.0,2.0
1900 Summer Olympics,2,1900,Bohemia,0,1,1,2,0.0,2.0
1900 Summer Olympics,2,1900,Australia,0,0,3,3,2.0,3.0
1900 Summer Olympics,2,1900,Sweden,0,0,1,1,0.0,1.01
1904 Summer Olympics,3,1904,United States,80,85,83,248,48.0,171.69
1904 Summer Olympics,3,1904,Germany,5,4,5,14,9.0,14.03
1904 Summer Olympics,3,1904,Canada,4,1,1,6,0.0,6.0
1904 Summer Olympics,3,1904,Cuba,3,0,0,3,2.0,3.04
1904 Summer Olympics,3,1904,Hungary,2,1,1,4,5.0,4.0
1904 Summer Olympics,3,1904,Great Britain,1,1,0,2,37.0,2.0
1904 Summer Olympics,3,1904,Greece,1,0,1,2,47.0,2.0
1904 Summer Olympics,3,1904,Mixed team,1,0,0,1,6.0,1.0
1908 Summer Olympics,5,1908,Great Britain,56,51,39,146,2.0,147.05
1908 Summer Olympics,5,1908,United States,23,12,12,47,248.0,46.84
1908 Summer Olympics,5,1908,Sweden,8,6,11,25,1.0,24.77
1908 Summer Olympics,5,1908,France,5,5,9,19,112.0,19.11
1908 Summer Olympics,5,1908,Germany,3,5,5,13,14.0,13.1
1908 Summer Olympics,5,1908,Hungary,3,4,2,9,4.0,9.15
1908 Summer Olympics,5,1908,Canada,3,3,10,16,6.0,16.32
1908 Summer Olympics,5,1908,Norway,2,3,3,8,5.0,8.01
1908 Summer Olympics,5,1908,Italy,2,2,0,4,5.0,4.11
1908 Summer Olympics,5,1908,Belgium,1,5,2,8,18.0,8.03
1908 Summer Olympics,5,1908,Australasia,1,2,2,5,0.0,5.01
1908 Summer Olympics,5,1908,Russian Federation,1,2,0,3,0.0,3.0
1908 Summer Olympics,5,1908,Finland,1,1,3,5,0.0,5.03
1908 Summer Olympics,5,1908,South Africa,1,1,0,2,0.0,2.0
1908 Summer Olympics,5,1908,Greece,0,3,1,4,2.0,4.0
1908 Summer Olympics,5,1908,Denmark,0,2,3,5,6.0,5.0
1908 Summer Olympics,5,1908,Bohemia,0,0,2,2,2.0,2.0
1908 Summer Olympics,5,1908,Netherlands,0,0,2,2,6.0,2.0
1908 Summer Olympics,5,1908,Austria,0,0,1,1,6.0,1.01
1912 Summer Olympics,6,1912,United States,26,19,19,64,47.0,63.17
1912 Summer Olympics,6,1912,Sweden,23,25,17,65,25.0,63.47
1912 Summer Olympics,6,1912,Great Britain,10,15,16,41,146.0,43.48
1912 Summer Olympics,6,1912,Finland,9,8,9,26,5.0,25.78
1912 Summer Olympics,6,1912,France,7,5,3,15,19.0,15.05
1912 Summer Olympics,6,1912,Germany,6,13,7,26,13.0,24.98
1912 Summer Olympics,6,1912,Italy,5,1,2,8,4.0,8.34
1912 Summer Olympics,6,1912,South Africa,4,2,0,6,2.0,6.06
1912 Summer Olympics,6,1912,Norway,3,2,5,10,8.0,10.32
1912 Summer Olympics,6,1912,Canada,3,2,3,8,16.0,8.01
1912 Summer Olympics,6,1912,Hungary,3,2,3,8,9.0,8.02
1912 Summer Olympics,6,1912,Australasia,2,2,3,7,5.0,7.02
1912 Summer Olympics,6,1912,Belgium,2,1,3,6,8.0,5.99
1912 Summer Olympics,6,1912,Denmark,1,6,5,12,5.0,14.13
1912 Summer Olympics,6,1912,Greece,1,0,1,2,4.0,2.0
1912 Summer Olympics,6,1912,Switzerland,1,0,0,1,10.0,1.0
1912 Summer Olympics,6,1912,Russian Federation,0,2,3,5,3.0,5.11
1912 Summer Olympics,6,1912,Austria,0,2,2,4,1.0,4.07
1912 Summer Olympics,6,1912,Netherlands,0,0,3,3,2.0,3.0
1920 Summer Olympics,7,1920,United States,41,27,27,95,64.0,93.54
1920 Summer Olympics,7,1920,Sweden,19,20,25,64,65.0,63.92
1920 Summer Olympics,7,1920,Belgium,16,12,14,42,6.0,41.92
1920 Summer Olympics,7,1920,Finland,15,10,9,34,26.0,33.12
1920 Summer Olympics,7,1920,Great Britain,14,16,13,43,41.0,43.57
1920 Summer Olympics,7,1920,Italy,14,6,5,25,8.0,24.35
1920 Summer Olympics,7,1920,Norway,13,10,9,32,10.0,32.05
1920 Summer Olympics,7,1920,France,9,20,13,42,15.0,42.53
1920 Summer Olympics,7,1920,Netherlands,4,2,5,11,3.0,10.88
1920 Summer Olympics,7,1920,Denmark,3,9,1,13,12.0,12.38
1920 Summer Olympics,7,1920,South Africa,3,4,3,10,6.0,10.0
1920 Summer Olympics,7,1920,Canada,3,3,3,9,8.0,9.02
1920 Summer Olympics,7,1920,Switzerland,2,2,7,11,1.0,11.05
1920 Summer Olympics,7,1920,Estonia,1,2,0,3,0.0,3.0
1920 Summer Olympics,7,1920,Brazil,1,1,1,3,0.0,3.0
1920 Summer Olympics,7,1920,Australia,0,2,1,3,3.0,3.03
1920 Summer Olympics,7,1920,Japan,0,2,0,2,0.0,2.0
1920 Summer Olympics,7,1920,Spain,0,2,0,2,1.0,2.0
1920 Summer Olympics,7,1920,Greece,0,1,0,1,2.0,1.0
1920 Summer Olympics,7,1920,Luxembourg,0,1,0,1,0.0,1.0
1920 Summer Olympics,7,1920,Czechoslovakia,0,0,2,2,0.0,2.0
1920 Summer Olympics,7,1920,New Zealand,0,0,1,1,0.0,1.0
1924 Summer Olympics,8,1924,United States,45,27,27,99,95.0,98.64
1924 Summer Olympics,8,1924,France,14,15,12,41,42.0,41.25
1924 Summer Olympics,8,1924,Finland,14,13,10,37,34.0,33.75
1924 Summer Olympics,8,1924,Great Britain,9,14,12,35,43.0,33.58
1924 Summer Olympics,8,1924,Italy,8,3,5,16,25.0,16.17
1924 Summer Olympics,8,1924,Switzerland,7,8,10,25,11.0,24.73
1924 Summer Olympics,8,1924,Norway,5,2,3,10,32.0,10.34
1924 Summer Olympics,8,1924,Sweden,4,13,12,29,64.0,29.72
1924 Summer Olympics,8,1924,Netherlands,4,1,6,11,11.0,11.13
1924 Summer Olympics,8,1924,Belgium,3,7,3,13,42.0,12.59
1924 Summer Olympics,8,1924,Australia,3,1,2,6,3.0,5.94
1924 Summer Olympics,8,1924,Denmark,2,6,3,11,13.0,11.22
1924 Summer Olympics,8,1924,Hungary,2,4,4,10,8.0,9.93
1924 Summer Olympics,8,1924,Yugoslavia,2,0,0,2,0.0,2.01
1924 Summer Olympics,8,1924,Czechoslovakia,1,4,5,10,2.0,10.09
1924 Summer Olympics,8,1924,Argentina,1,3,2,6,0.0,5.97
1924 Summer Olympics,8,1924,Estonia,1,1,4,6,3.0,6.06
1924 Summer Olympics,8,1924,South Africa,1,1,1,3,10.0,3.0
1924 Summer Olympics,8,1924,Luxembourg,1,1,0,2,1.0,2.0
1924 Summer Olympics,8,1924,Greece,1,0,0,1,1.0,1.0
1924 Summer Olympics,8,1924,Uruguay,1,0,0,1,0.0,1.0
1924 Summer Olympics,8,1924,Austria,0,3,1,4,4.0,4.02
1924 Summer Olympics,8,1924,Canada,0,3,1,4,9.0,4.07
1924 Summer Olympics,8,1924,Ireland,0,1,1,2,0.0,2.0
1924 Summer Olympics,8,1924,Poland,0,1,1,2,0.0,2.0
1924 Summer Olympics,8,1924,Haiti,0,0,1,1,0.0,1.0
1924 Summer Olympics,8,1924,Japan,0,0,1,1,2.0,1.0
1924 Summer Olympics,8,1924,Monaco,0,0,1,1,0.0,1.0
1924 Summer Olympics,8,1924,New Zealand,0,0,1,1,1.0,1.0
1924 Summer Olympics,8,1924,Portugal,0,0,1,1,0.0,1.0
1924 Summer Olympics,8,1924,Romania,0,0,1,1,0.0,1.0
1928 Summer Olympics,9,1928,United States,22,18,16,56,99.0,57.54
1928 Summer Olympics,9,1928,Germany,11,9,19,39,26.0,39.14
1928 Summer Olympics,9,1928,Netherlands,8,10,5,23,11.0,23.57
1928 Summer Olympics,9,1928,Finland,8,8,9,25,37.0,24.88
1928 Summer Olympics,9,1928,France,7,12,6,25,41.0,24.68
1928 Summer Olympics,9,1928,Sweden,7,6,12,25,29.0,25.42
1928 Summer Olympics,9,1928,Italy,7,6,7,20,16.0,20.36
1928 Summer Olympics,9,1928,Switzerland,7,6,4,17,25.0,17.16
1928 Summer Olympics,9,1928,Hungary,5,5,0,10,10.0,11.02
1928 Summer Olympics,9,1928,Great Britain,4,11,7,22,35.0,22.14
1928 Summer Olympics,9,1928,Canada,4,4,7,15,4.0,14.47
1928 Summer Olympics,9,1928,Argentina,3,3,1,7,6.0,6.94
1928 Summer Olympics,9,1928,Denmark,3,2,4,9,11.0,8.9
1928 Summer Olympics,9,1928,Austria,3,0,1,4,4.0,4.11
1928 Summer Olympics,9,1928,Czechoslovakia,2,5,2,9,10.0,8.98
1928 Summer Olympics,9,1928,Japan,2,2,1,5,1.0,4.98
1928 Summer Olympics,9,1928,Poland,2,1,4,7,2.0,6.69
1928 Summer Olympics,9,1928,Estonia,2,1,2,5,6.0,5.02
1928 Summer Olympics,9,1928,Egypt,2,1,1,4,0.0,4.0
1928 Summer Olympics,9,1928,Australia,1,2,1,4,6.0,4.0
1928 Summer Olympics,9,1928,Norway,1,2,1,4,10.0,4.0
1928 Summer Olympics,9,1928,Yugoslavia,1,1,3,5,2.0,5.01
1928 Summer Olympics,9,1928,South Africa,1,0,2,3,3.0,3.0
1928 Summer Olympics,9,1928,India,1,0,0,1,2.0,1.0
1928 Summer Olympics,9,1928,Ireland,1,0,0,1,2.0,1.0
1928 Summer Olympics,9,1928,Luxembourg,1,0,0,1,2.0,1.0
1928 Summer Olympics,9,1928,New Zealand,1,0,0,1,1.0,1.0
1928 Summer Olympics,9,1928,Spain,1,0,0,1,2.0,1.0
1928 Summer Olympics,9,1928,Uruguay,1,0,0,1,1.0,1.0
1928 Summer Olympics,9,1928,Belgium,0,1,2,3,13.0,3.0
1928 Summer Olympics,9,1928,Chile,0,1,0,1,0.0,1.0
1928 Summer Olympics,9,1928,Haiti,0,1,0,1,1.0,1.0
1928 Summer Olympics,9,1928,Philippines,0,0,1,1,0.0,1.0
1928 Summer Olympics,9,1928,Portugal,0,0,1,1,1.0,1.0
1932 Summer Olympics,10,1932,United States,44,36,30,110,56.0,101.41
1932 Summer Olympics,10,1932,Italy,12,12,12,36,20.0,35.1
1932 Summer Olympics,10,1932,France,11,5,4,20,25.0,19.26
1932 Summer Olympics,10,1932,Sweden,10,5,9,24,25.0,24.13
1932 Summer Olympics,10,1932,Japan,7,7,4,18,5.0,17.61
1932 Summer Olympics,10,1932,Hungary,6,5,5,16,10.0,16.32
1932 Summer Olympics,10,1932,Germany,5,12,7,24,39.0,23.76
1932 Summer Olympics,10,1932,Finland,5,8,12,25,25.0,25.4
1932 Summer Olympics,10,1932,Great Britain,5,7,5,17,22.0,17.07
1932 Summer Olympics,10,1932,Poland,3,2,4,9,7.0,8.88
1932 Summer Olympics,10,1932,Australia,3,1,1,5,4.0,5.0
1932 Summer Olympics,10,1932,Argentina,3,1,0,4,7.0,3.93
1932 Summer Olympics,10,1932,Canada,2,5,9,16,15.0,17.12
1932 Summer Olympics,10,1932,Netherlands,2,5,1,8,23.0,8.06
1932 Summer Olympics,10,1932,South Africa,2,0,3,5,3.0,5.19
1932 Summer Olympics,10,1932,Ireland,2,0,0,2,1.0,2.01
1932 Summer Olympics,10,1932,Czechoslovakia,1,3,2,6,9.0,6.06
1932 Summer Olympics,10,1932,Austria,1,1,3,5,4.0,5.01
1932 Summer Olympics,10,1932,India,1,0,0,1,1.0,1.0
1932 Summer Olympics,10,1932,Denmark,0,5,3,8,9.0,8.36
1932 Summer Olympics,10,1932,Mexico,0,2,0,2,0.0,2.0
1932 Summer Olympics,10,1932,Latvia,0,1,0,1,0.0,1.0
1932 Summer Olympics,10,1932,New Zealand,0,1,0,1,1.0,1.0
1932 Summer Olympics,10,1932,Switzerland,0,1,0,1,17.0,1.0
1932 Summer Olympics,10,1932,Philippines,0,0,3,3,1.0,3.0
1932 Summer Olympics,10,1932,Belgium,0,0,1,1,3.0,1.0
1932 Summer Olympics,10,1932,Spain,0,0,1,1,1.0,1.0
1932 Summer Olympics,10,1932,Uruguay,0,0,1,1,1.0,1.0
1936 Summer Olympics,11,1936,Germany,38,31,32,101,24.0,97.68
1936 Summer Olympics,11,1936,United States,24,21,12,57,110.0,58.95
1936 Summer Olympics,11,1936,Hungary,10,1,5,16,16.0,16.35
1936 Summer Olympics,11,1936,Italy,9,13,5,27,36.0,26.32
1936 Summer Olympics,11,1936,Finland,8,6,6,20,25.0,20.06
1936 Summer Olympics,11,1936,France,7,6,6,19,20.0,19.18
1936 Summer Olympics,11,1936,Sweden,6,5,10,21,24.0,21.05
1936 Summer Olympics,11,1936,Japan,6,4,10,20,18.0,19.82
1936 Summer Olympics,11,1936,Netherlands,6,4,7,17,8.0,16.36
1936 Summer Olympics,11,1936,Austria,5,7,5,17,5.0,17.04
1936 Summer Olympics,11,1936,Switzerland,4,9,5,18,1.0,18.24
1936 Summer Olympics,11,1936,Great Britain,4,7,3,14,17.0,13.58
1936 Summer Olympics,11,1936,Czechoslovakia,3,5,1,9,6.0,8.8
1936 Summer Olympics,11,1936,Argentina,2,2,3,7,4.0,6.98
1936 Summer Olympics,11,1936,Estonia,2,2,3,7,5.0,7.01
1936 Summer Olympics,11,1936,Egypt,2,1,2,5,4.0,5.0
1936 Summer Olympics,11,1936,Canada,1,3,5,9,16.0,9.09
1936 Summer Olympics,11,1936,Norway,1,3,2,6,4.0,6.0
1936 Summer Olympics,11,1936,Türkiye,1,0,1,2,0.0,2.0
1936 Summer Olympics,11,1936,India,1,0,0,1,1.0,1.0
1936 Summer Olympics,11,1936,New Zealand,1,0,0,1,1.0,1.0
